Q01_Best part	Q02_Worst part	Q03_Time
Labels were explained in a very understandable way	Hypothesis space went a bit over my head and could have been explained more thoroughly	2 : 1-5 hours
I think the coding excercises were altogether very, niced, they helped a lot to understand the subject in matter	'I think the typo searching was my least favorite, didn''t really understand the point first'	2 : 1-5 hours
I liked the 2.1 section of the course book. It explained the concepts behind features and labels nicely and gave good real-world examples.	The programming exercise was pretty tame. It felt really easy. 	2 : 1-5 hours
I think features are the best part since they are closely tied to the engineer working on the problem and it gives the engineer some manual access to the problem domain.	Hypothesis space was explained a bit weirdly. It is also more theoretical in the machine learning domain in which approximations are built to model the world around us.	2 : 1-5 hours
All exercises, i.e. programming in Python. It was somewhat time consuming but a lot of fun to get back to using Python.&nbsp;	'It''s hard to pick a worst one, but one think I would love to have improved is Alex''s drawings.&nbsp;They are great, but draws a lot on the same sheet and signs over other signs, then puts some crosses, thus after the lecture you forget what was supposed to be correct and what referred to what.&nbsp;Also, It would be great if he could number his drawings or not put as many circles around things :D&nbsp;'	3 : 6-10 Hours
'I really enjoyed the clear explanation of features and labels. It''s a core concept that everyone should have perfectly clear in their minds, and I really appreciate that the course was thorough with it despite needing to take a lot of time for it.'	'One of the topics that I think still wasn''t clear enough was the formation of weight functions for each hypothesis space predictor.It felt like there was a missed gap in the work pipeline that failed to explain how the weight functions vary for different predictor. Should we just test all possible combinations of vector indices and also, where do they really originate from/how do you put them together?'	4 : 10-20 hours
Exercise 2: I learned how to plot multiple datasets into one figure and how .show() actually creates a new plain figure for plotting the next plots.	Exercise 3: Eigenvectors and eigenvalues -&gt; what do they represent in the data set?&nbsp;	3 : 6-10 Hours
Hypothesis space was relatively new to me and it was well described in the course book. 	Finding typos in the text, are you kidding me?	2 : 1-5 hours
The use of JupyterHub was a great thing as it helped me understand the theory in practice. Task 2 was useful.	'Task 3 Eigenvectors - I didn''t fully understand how that was related to this round. The course material didn''t contain any material to solve the task, and I found it very difficult even with help from the Web.'	3 : 6-10 Hours
'The section on loss functions (2.3). It was mathematically precise-enough but still concise, it had neat examples and it made it clear, why I should study the chapter well: I''m going to meet it again in future chapters.'	'Not so much a part of this round as a general comment: the lecture notes are good but written in a somewhat-too-prosaic style, which I''d exchange for a hardline, no-nonsense approach focusing on mathematical necessities (but no topology, please). Then again, in all honesty, I''ve only read the first two chapters, so this might just be because of the introductory purpose of the chapters.'	4 : 10-20 hours
Learning some basic Python. Basics of how ML works in practice.	'Handling matrix-arrays and vectors when one is not very fluent with those. But can''t be avoided, need to study more to improve. Also selecting parts of an array to plot in different colours took time, until understood the correct way of writing the code. E.g. plt.scatter(data[200:399,0],data[200:399,1],[20],''g'') took time to formulate since one could not find clear instructions anywhere how to plot only a part of a single column in an array, not the whole column.'	4 : 10-20 hours
Labels	Matrices	2 : 1-5 hours
I liked the part where the eigenvalues were needed, as this gave me a brief revision to linear algebra.	The part where the data points needed to be separated into 3 different subsets. It felt a bit tedious, especially when there was almost 2 identical answers to the problem on the quiz.	3 : 6-10 Hours
The second exercise (Data.csv) was very useful as a way to get started with Python, as it involved all the basic steps of data loading, some preprocessing (slicing the dataset) and plotting.&nbsp;	Plotting the vectors in the last part of the third exercise was very difficult for me. I admit that my linear algebra knowledge was a bit rusty, however some googling and wikipedia reading helped to understand the concept of eigenvalues and eigenvectors. A small recap or cheat sheet regarding the most important linear algebra concepts for ML would be useful. However, what was much harder than understand the theory was to get the bloody vectors plotted. By then, I knew exactly how they should look and could have drawn them on a piece of paper easily, but the Python implementation was time consuming.&nbsp;	4 : 10-20 hours
Tasks 2 and 3 in the programming exercises. These exercises reviewed some practicalities of data manipulation with python and helped my understanding of matrices.	Question 2 in the quiz. Although this question is important in terms of matrices, but the mathematical details in this question were beyond the course material for this exercise round.	3 : 6-10 Hours
The quiz. I am often stuck on these programming problems but at least this way I can know what the right answer is.&nbsp; So I know what to aim for and then can figure out the why it should be like that.	I am not familiar with python or JupyterHub but apparently there is no autofill feature? It is a big part of how I program and try to find a suitable function.	4 : 10-20 hours
Made me refresh on linear algebra and introduced numpy, both required for the cource	There was some use of deprecated code, as_matrix vs values	3 : 6-10 Hours
The basis of machine learning was explained clearly, the topics feature etc. were explained sufficiently extensively for a first timer.	the linear algebra was not reviewed extensively enough though the computerized excersises	3 : 6-10 Hours
